Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7523,Two Worlds II,PC,2011,Role-Playing,TopWare Interactive,0.09,0.09,0,0.03,0.2
7617,Famista 64,N64,1997,Sports,Namco Bandai Games,0,0,0.17,0.03,0.2
7650,Dead Space 3,PC,2013,Action,Electronic Arts,0.02,0.15,0,0.02,0.2
7722,Test Drive Unlimited 2,PC,2011,Racing,Atari,0.05,0.11,0,0.03,0.2
7910,Pet Zombies,3DS,2011,Simulation,Majesco Entertainment,0.18,0,0,0.01,0.19
7938,Chibi-Robo! Park Patrol,DS,2007,Adventure,Nintendo,0,0,0.19,0,0.19
7948,Star Trek: Legacy,X360,2006,Simulation,Ubisoft,0.14,0.03,0,0.02,0.19
7955,Thomas the Tank Engine & Friends,GBA,2004,Adventure,Alternative Software,0.13,0.05,0,0,0.19
8046,Trauma Team,Wii,2010,Simulation,Atlus,0.15,0,0.02,0.01,0.18
8088,Backbreaker,X360,2009,Sports,505 Games,0.17,0,0,0.01,0.18
8138,Heavy Fire: Afghanistan,PS3,2011,Shooter,Mastiff,0.17,0,0,0.01,0.18
8159,Twisted Metal: Small Brawl,PS,2001,Action,Sony Computer Entertainment,0.1,0.07,0,0.01,0.18
8169,Otomedius Excellent,X360,2011,Shooter,Konami Digital Entertainment,0.13,0,0.04,0.01,0.18
8206,NBA Starting Five,PS2,2002,Sports,Konami Digital Entertainment,0.09,0.07,0,0.02,0.18
8225,Teen Titans,GBA,2005,Action,Majesco Entertainment,0.13,0.05,0,0,0.17
8315,Backbreaker,PS3,2009,Sports,505 Games,0.16,0,0,0.01,0.17
8332,Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004,Misc,Majesco Entertainment,0.12,0.05,0,0,0.17
8336,James Cameron's Dark Angel,PS2,2002,Action,Universal Interactive,0.08,0.07,0,0.02,0.17
8343,Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004,Misc,Majesco Entertainment,0.12,0.05,0,0,0.17
8370,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004,Misc,Majesco Entertainment,0.12,0.04,0,0,0.17
8378,Sword of the Samurai,PS2,2002,Fighting,Ubisoft,0,0,0.17,0,0.17
8441,Splatterhouse,PS3,2010,Action,Namco Bandai Games,0.13,0.02,0,0.02,0.17
8505,Stronghold 3,PC,2011,Strategy,SouthPeak Games,0.06,0.1,0,0,0.16
8507,Kid Adventures: Sky Captain,Wii,2010,Action,D3Publisher,0.11,0.04,0,0.01,0.16
8555,Alone in the Dark: The New Nightmare,PS,2001,Adventure,Infogrames,0.09,0.06,0,0.01,0.16
8622,Vegas Party,Wii,2009,Misc,Storm City Games,0.15,0,0,0.01,0.16
8709,Jurassic Park: The Game,X360,2011,Action,Telltale Games,0.15,0,0,0.01,0.16
8762,Home Run,2600,1978,Sports,Atari,0.14,0.01,0,0,0.15
8772,Cartoon Network Collection: Game Boy Advance Video Special Edition,GBA,2005,Misc,Majesco Entertainment,0.11,0.04,0,0,0.15
8827,Kids Learn Math: A+ Edition,DS,2011,Misc,Talking Stick Games,0.14,0,0,0.01,0.15
8846,Terraria,PC,2011,Action,505 Games,0,0.13,0,0.02,0.15
8850,Pokémon: Johto Photo Finish: Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.11,0.04,0,0,0.15
8898,Strawberry Shortcake: Game Boy Advance Video Volume 1,GBA,2004,Misc,Majesco Entertainment,0.11,0.04,0,0,0.15
8901,eJay Clubworld,PS2,2002,Misc,Empire Interactive,0.07,0.06,0,0.02,0.15
8931,All-Star Baseball 2005,XB,2004,Sports,Acclaim Entertainment,0.11,0.03,0,0.01,0.15
8977,Black * Rock Shooter: The Game,PSP,2011,Role-Playing,Image Epoch,0,0,0.15,0,0.15
9083,Our House Party!,Wii,2009,Simulation,Majesco Entertainment,0.13,0,0,0.01,0.14
9153,WCW Backstage Assault,N64,2000,Action,Electronic Arts,0.11,0.03,0,0,0.14
9173,Bejeweled 3,PS3,2010,Puzzle,PopCap Games,0.13,0,0,0.01,0.14
9204,Barbie Explorer,PS,2001,Platform,Vivendi Games,0.08,0.05,0,0.01,0.14
9207,Power Gig: Rise of the SixString,PS3,2010,Misc,Seven45 Studios,0.13,0,0,0.01,0.14
9253,Bejeweled 3,X360,2010,Puzzle,PopCap Games,0.13,0,0,0.01,0.14
9312,Disney's Cinderella: Magical Dreams,GBA,2005,Platform,Disney Interactive Studios,0.1,0.04,0,0,0.14
9394,Transworld Surf,XB,2001,Sports,Atari,0.1,0.03,0,0,0.13
9477,Street Fighter IV,PC,2008,Fighting,Capcom,0.07,0.04,0,0.02,0.13
9519,Farming Simulator 2011,PC,2010,Simulation,Astragon,0,0.13,0,0,0.13
9524,Nintendo Puzzle Collection,GC,2003,Puzzle,Nintendo,0,0,0.13,0,0.13
9669,Charm Girls Club: My Fashion Mall,DS,2009,Simulation,Electronic Arts,0.12,0,0,0.01,0.12
9694,WRC: FIA World Rally Championship,X360,2010,Racing,Black Bean Games,0,0.1,0,0.02,0.12
9744,Record of Agarest War Zero,PS3,2009,Strategy,Ghostlight,0.09,0,0.03,0.01,0.12
9751,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,2012,Strategy,Banpresto,0,0,0.12,0,0.12
9771,Saru! Get You! Million Monkeys,PS2,2006,Platform,Sony Computer Entertainment,0,0,0.12,0,0.12
9817,Street Hoops,GC,2002,Sports,Activision,0.09,0.02,0,0,0.12
9822,Godzilla: Destroy All Monsters Melee,XB,2002,Fighting,Atari,0.09,0.03,0,0,0.12
9823,The Daring Game for Girls,DS,2010,Adventure,Majesco Entertainment,0.11,0,0,0.01,0.12
9842,Rocksmith,PC,2011,Misc,Ubisoft,0.06,0.04,0,0.01,0.12
9870,Major League Baseball 2K6,PSP,2006,Sports,Take-Two Interactive,0.11,0,0,0.01,0.12
9884,Power Gig: Rise of the SixString,X360,2010,Misc,Seven45 Studios,0.11,0,0,0.01,0.12
9983,Happy Feet Two,DS,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.02,0,0.01,0.12
9999,Mystery P.I. - Portrait of a Thief,DS,2008,Adventure,PopCap Games,0.11,0,0,0.01,0.11
10047,Star Trek: Conquest,PS2,2007,Strategy,Bethesda Softworks,0.06,0.04,0,0.01,0.11
10196,Yoostar2,PS3,2011,Misc,Yoostar Entertainment Group,0.04,0.05,0,0.02,0.11
10244,AKB48+Me,3DS,2012,Action,Kadokawa Games,0,0,0.11,0,0.11
10274,GiFTPiA,GC,2003,Role-Playing,Nintendo,0,0,0.11,0,0.11
10359,Saigo no Yakusoku no Monogatari,PSP,2011,Role-Playing,Image Epoch,0,0,0.11,0,0.11
10364,Disney's Chicken Little: Ace In Action,Wii,2006,Shooter,Disney Interactive Studios,0.1,0,0,0.01,0.11
10384,Disney Channel Collection Vol. 1,GBA,2004,Misc,Majesco Entertainment,0.08,0.03,0,0,0.11
10467,Happy Feet Two,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.01,0,0.01,0.1
10496,Atsumare! Power Pro Kun no DS Koushien,DS,2006,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1
10556,Baten Kaitos Origins,GC,2006,Role-Playing,Nintendo,0.06,0.02,0.02,0,0.1
10561,My Healthy Cooking Coach,DS,2008,Simulation,Ubisoft,0.09,0,0,0.01,0.1
10692,Happy Feet Two,X360,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0,0.01,0.1
10735,Persona 5,PS3,2016,Role-Playing,Atlus,0,0,0.1,0,0.1
10760,Luminous Arc 2 (JP sales),DS,2008,Role-Playing,Marvelous Entertainment,0,0,0.1,0,0.1
10794,The Daring Game for Girls,Wii,2009,Adventure,Majesco Entertainment,0.09,0,0,0.01,0.1
10831,Egg Monster Hero,DS,2005,Role-Playing,Square Enix,0,0,0.09,0,0.09
10981,Samurai Shodown Anthology,PSP,2008,Fighting,Ignition Entertainment,0.08,0,0,0.01,0.09
10999,Demon Chaos,PS2,2005,Action,Konami Digital Entertainment,0,0,0.09,0,0.09
11078,Action Man-Operation Extreme,PS,2000,Action,Hasbro Interactive,0.05,0.03,0,0.01,0.09
11109,Thomas & Friends: Hero of the Rails,DS,2010,Misc,Barnstorm Games,0,0.07,0,0.01,0.09
11110,Super Puzzle Fighter II,GBA,1996,Puzzle,Capcom,0.06,0.02,0,0,0.09
11144,Happy Feet Two,Wii,2011,Action,Warner Bros. Interactive Entertainment,0.07,0.01,0,0.01,0.09
11277,Martian Panic,Wii,2010,Adventure,Funbox Media,0.08,0,0,0,0.08
11325,Charm Girls Club: My Fashion Show,DS,2009,Simulation,Electronic Arts,0.08,0,0,0.01,0.08
11333,Get Fit with Mel B,X360,2010,Sports,Black Bean Games,0,0.07,0,0.01,0.08
11378,Face Racers: Photo Finish,3DS,2011,Racing,Majesco Entertainment,0.08,0,0,0,0.08
11411,Zero: Tsukihami no Kamen,Wii,2008,Action,Nintendo,0,0,0.08,0,0.08
11457,The Hidden,3DS,2011,Adventure,Majesco Entertainment,0.08,0,0,0,0.08
11528,Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA,2004,Misc,Majesco Entertainment,0.06,0.02,0,0,0.08
11545,Rock Revolution,Wii,2008,Misc,Konami Digital Entertainment,0.07,0,0,0.01,0.08
11575,Dead Island: Riptide,PC,2013,Action,Deep Silver,0,0.07,0,0.01,0.08
11602,The Golf Club,PS4,2014,Sports,Take-Two Interactive,0.05,0.02,0,0.01,0.08
11757,Mega Man Battle Network: Operation Shooting Star,DS,2009,Role-Playing,Capcom,0,0,0.07,0,0.07
11800,Smashing Drive,GC,2000,Racing,Namco Bandai Games,0.06,0.01,0,0,0.07
11891,Speed,Wii,2010,Racing,Zoo Games,0.04,0.02,0,0.01,0.07
11923,Dream Trigger 3D,3DS,2011,Shooter,D3Publisher,0.04,0.02,0,0.01,0.07
11940,Tornado,DS,2008,Action,Ignition Entertainment,0.07,0,0,0,0.07
11978,McFarlane's Evil Prophecy,PS2,2004,Action,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07
12017,Drake of the 99 Dragons,XB,2003,Shooter,Majesco Entertainment,0.05,0.01,0,0,0.07
12029,Alpha and Omega,DS,2010,Action,Storm City Games,0.06,0,0,0,0.07
12030,Port Royale 3,PS3,2012,Simulation,Kalypso Media,0.06,0,0,0.01,0.07
12061,Fairy Tail: Zelef Kakusei,PSP,2012,Action,Konami Digital Entertainment,0,0,0.07,0,0.07
12129,Build-A-Bear Workshop: Friendship Valley,Wii,2010,Misc,Activision,0.06,0,0,0,0.07
12131,Alex Rider: Stormbreaker,DS,2006,Action,THQ,0.06,0,0,0,0.07
12137,Yoostar on MTV,X360,2011,Misc,Yoostar Entertainment Group,0.06,0,0,0,0.07
12186,Rayman Arena,XB,2002,Racing,Ubisoft,0.05,0.01,0,0,0.07
12214,National Geographic Challenge!,X360,2011,Misc,Ignition Entertainment,0.06,0,0,0,0.07
12240,Port Royale 3,X360,2012,Simulation,Kalypso Media,0.06,0,0,0,0.07
12250,Jewel Link Chronicles: Mountains of Madness,DS,2012,Puzzle,Avanquest,0,0.06,0,0.01,0.06
12300,Max & the Magic Marker,DS,2011,Platform,Microsoft Game Studios,0,0.06,0,0,0.06
12309,Kururin Paradise,GBA,2002,Puzzle,Nintendo,0,0,0.06,0,0.06
12489,Chou Soujuu Mecha MG,DS,2006,Simulation,Nintendo,0,0,0.06,0,0.06
12519,Prinny: Can I Really Be The Hero? (US sales),PSP,2008,Action,Nippon Ichi Software,0.06,0,0,0,0.06
12533,Combat Elite: WWII Paratroopers,PS2,2005,Shooter,SouthPeak Games,0.03,0.02,0,0.01,0.06
12535,Pheasants Forever Wingshooter,Wii,2010,Shooter,Nintendo,0.03,0.02,0,0,0.06
12628,Captain America: Super Soldier,Wii,2011,Action,Sega,0.05,0,0,0,0.06
12668,Flip's Twisted World,Wii,2010,Platform,Majesco Entertainment,0.05,0,0,0,0.06
12711,Mobile Ops: The One Year War,X360,2008,Simulation,Namco Bandai Games,0,0,0.06,0,0.06
